"Qty";"Value";"Device";"Package";"Parts";"Description";"CONTACT-RESISTANCE";"DATASHEET-URL";"DESCRIPTION";"HEIGHT";"IR";"L";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"PACKAGING";"PART-NUMBER";"PINS";"PITCH";"TYPE";"VALUE";"WORKING-VOLTAGE";
"1";"";"434353045816";"434353045816";"S3";"3.5x4.7 mm SMD J-Bend side push WS-TASU";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"10.2kR";"RESISTOR0402D";"0402D";"R9";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"16";"100nF 25V";"CAP_CERAMIC0402D";"0402D";"C1, C5, C8, C9, C10, C15, C16, C17, C18, C29, C30, C31, C33, C34, C37, C114";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"8";"10kR";"RESISTOR0402D";"0402D";"R2, R11, R12, R13, R14, R15, R16, R100";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"10uF 16V";"CAP_CERAMIC0603D";"0603D";"C2, C3, C4";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"18kR";"RESISTOR0402D";"0402D";"R8";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1kR";"RESISTOR0402D";"0402D";"R3, R4";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"220R";"RESISTOR0402D";"0402D";"R97, R98";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"22R";"RESISTOR0402D";"0402D";"R5, R6";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"22uF 6.3V";"CAP_CERAMIC0603D";"0603D";"C6";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"31.6kR";"RESISTOR0402D";"0402D";"R1";"Resistors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
